Geneid,GSM5290389_Snr1KD_RNA-seq_Ov_rep1,GSM5290390_Snr1KD_RNA-seq_Ov_rep2,GSM5290391_mod_mdg4KD_RNA-seq_Ov_rep1,GSM5290392_mod_mdg4KD_RNA-seq_Ov_rep2
FBgn0038951,1005,979,1907,1631
FBgn0038948,5036,3150,11735,10925
FBgn0038945,0,0,0,0
FBgn0038944,0,2,1,2
FBgn0038943,55,43,119,62
FBgn0051423,0,0,0,0
FBgn0051424,0,1,0,0
FBgn0038972,2423,3017,3511,3290
FBgn0038973,5,1,4,21
FBgn0038975,23,44,67,68
FBgn0038976,6116,6529,10332,8651
FBgn0038978,2,4,1,0
FBgn0038979,1,0,0,0
FBgn0053110,0,0,0,0
FBgn0028837,3802,3486,6618,6088
FBgn0038989,11288,11228,17476,15802
FBgn0051158,6073,6558,8265,7837
FBgn0038993,3,1,5,4
FBgn0051159,1019,1147,953,970
FBgn0051161,7,11,16,10
FBgn0020278,2746,2095,3638,3664
FBgn0051156,2121,2592,2466,2424
FBgn0014949,0,0,0,0
FBgn0053107,1815,2284,1967,1711
FBgn0024558,10278,8469,19755,17068
FBgn0038986,38,55,66,152
FBgn0038984,9764,11195,15644,14648
FBgn0038983,1997,2658,5247,4848
FBgn0053099,158,186,433,363
FBgn0038981,473,563,898,966
FBgn0003676,36573,33445,62870,58326
FBgn0038977,75,99,57,48
FBgn0038974,1412,1529,2709,2597
FBgn0028688,11511,8949,20767,19686
FBgn0038968,17757,22143,23576,23971
FBgn0038967,2,1,1,3
FBgn0038966,1040,1204,1506,1443
FBgn0039002,29,36,10,2
FBgn0039004,7589,9152,9738,9561
FBgn0039006,174,225,396,349
FBgn0039008,17,10,26,28
FBgn0039017,1832,2210,1924,1744
FBgn0039019,1653,1658,2916,2570
FBgn0039025,2599,3165,3395,3182
FBgn0039026,8933,8644,10315,10723
FBgn0039027,0,0,0,0
FBgn0039029,0,0,0,0
FBgn0039028,7,3,10,21
FBgn0040588,0,0,0,0
FBgn0039024,4,9,0,6
FBgn0039023,2,2,2,0
FBgn0039022,4,4,4,0
FBgn0051139,2,0,1,1
FBgn0039016,6406,6841,7294,7105
FBgn0039015,17,23,21,11
FBgn0039013,1555,1231,2533,2419
FBgn0024958,3700,3795,5607,5467
FBgn0051151,12223,12340,15900,15425
FBgn0039010,5,1,0,4
FBgn0039009,2,1,0,0
FBgn0039007,0,4,0,0
FBgn0039003,2625,2577,2917,2782
FBgn0046114,8847,7505,15776,13614
FBgn0017590,0,0,0,0
FBgn0039030,8,0,4,10
FBgn0051281,1,0,0,0
FBgn0039031,5,0,8,0
FBgn0039033,0,0,0,0
FBgn0039034,0,0,0,0
FBgn0039038,0,1,4,0
FBgn0039041,0,0,0,0
FBgn0039042,1,0,1,0
FBgn0041225,3,2,4,0
FBgn0027526,5519,5452,7582,6822
FBgn0039049,1,0,0,0
FBgn0039050,0,3,0,0
FBgn0039051,0,1,1,6
FBgn0039052,0,1,0,0
FBgn0039053,2,1,6,1
FBgn0039054,6,3,6,6
FBgn0039048,17,25,22,31
FBgn0053193,3028,2491,4282,3986
FBgn0039045,315,349,786,667
FBgn0039044,1830,1964,2567,2328
FBgn0039043,308,282,460,393
FBgn0039040,4,7,5,5
FBgn0039039,0,0,0,0
FBgn0039056,9941,10235,12868,13222
FBgn0039066,8455,10077,9025,8950
FBgn0039068,1342,1590,2185,1752
FBgn0025781,4728,6213,5952,5837
FBgn0039069,64,67,105,104
FBgn0039071,4,4,0,1
FBgn0039070,4,2,0,1
FBgn0039067,2671,2705,2712,2584
FBgn0039065,4655,6405,6901,6643
FBgn0039064,4,4,11,7
FBgn0011596,15,11,0,5
FBgn0039059,0,0,1,0
FBgn0039058,9,7,5,1
FBgn0004395,4654,5929,4903,4920
FBgn0051457,2527,2643,3428,2917
FBgn0051365,5837,6228,6786,6325
FBgn0039055,9797,11988,12116,12386
FBgn0024509,7488,5057,18541,16008
FBgn0002622,88612,70471,299560,249277
FBgn0051225,5,152,18,4
FBgn0039079,0,0,0,0
FBgn0039080,0,0,0,0
FBgn0039088,1,0,0,0
FBgn0039087,0,0,0,0
FBgn0039086,0,0,0,0
FBgn0039085,0,0,0,0
FBgn0039084,217,461,506,660
FBgn0039083,0,1,0,0
FBgn0039081,1,0,4,11
FBgn0039078,0,0,0,0
FBgn0039077,0,0,0,0
FBgn0051515,0,0,0,0
FBgn0039075,519,526,563,1038
FBgn0039073,5915,6422,6067,5446
FBgn0016119,11008,9861,20496,18214
FBgn0039089,1,4,1,0
FBgn0039098,3,2,2357,1885
FBgn0039099,80,61,3526,3072
FBgn0039101,78,101,97,91
FBgn0042106,29,23,40,43
FBgn0039102,12,8,12,11
FBgn0051148,28,19,15,8
FBgn0051413,0,0,0,0
FBgn0051414,4,7,13,5
FBgn0039106,0,0,0,0
FBgn0039107,0,0,0,0
FBgn0039109,5067,5104,5554,5554
FBgn0028684,15256,15328,24455,23031
FBgn0039111,1315,1594,1779,1560
FBgn0039112,2904,2829,6014,5224
FBgn0028475,6974,7949,9220,8675
FBgn0039110,6507,4380,17664,15610
FBgn0028691,13801,15013,24840,22152
FBgn0039108,1,0,1,0
FBgn0002922,0,1,2,0
FBgn0047351,1,2,0,0
FBgn0043005,0,0,0,0
FBgn0039104,3,2,0,0
FBgn0027512,58564,69128,67493,66948
FBgn0051145,1901,1978,2450,2465
FBgn0039094,1089,1096,413,365
FBgn0051143,0,0,0,0
FBgn0039093,0,0,0,0
FBgn0039092,0,0,0,0
FBgn0053337,0,0,0,0
FBgn0039091,1,0,2,8
FBgn0004187,39,44,19,18
FBgn0004186,6,7,3,0
FBgn0051141,0,0,0,0
FBgn0039125,6295,6619,7082,6826
FBgn0047114,616,909,1180,1021
FBgn0039128,2075,2777,2405,2164
FBgn0039130,3676,3883,4325,4170
FBgn0039132,6694,9380,9150,7803
FBgn0051140,14,24,36,39
FBgn0051451,17,27,48,31
FBgn0039136,5423,5606,8491,8011
FBgn0015795,12552,17783,18463,19106
FBgn0053108,258,342,1152,1032
FBgn0051184,1899,2045,4107,3133
FBgn0020647,4648,4261,6245,6073
FBgn0039137,1536,1763,1427,1479
FBgn0039135,3826,4582,6280,5287
FBgn0005674,17415,19247,26565,26913
FBgn0039131,3,2,5,10
FBgn0039129,22,20,111,76
FBgn0015282,16508,13516,32848,30795
FBgn0039126,2885,2684,4845,4281
FBgn0016754,2770,2616,2379,2522
FBgn0039124,37,46,72,60
FBgn0013347,5136,5301,8011,6082
FBgn0025574,3658,4289,9718,9071
FBgn0004185,14,11,3,0
FBgn0039139,2272,2243,2377,2195
FBgn0039141,11252,11135,12954,12339
FBgn0043455,2797,3409,3781,3418
FBgn0026576,9186,9964,12386,11855
FBgn0039145,132,226,46,32
FBgn0040283,10077,11691,11555,11871
FBgn0039147,1,2,3,0
FBgn0039149,524,659,1218,1074
FBgn0039152,2,0,0,5
FBgn0026317,9977,9549,12510,12065
FBgn0039154,31,43,42,50
FBgn0039155,626,926,882,1194
FBgn0039156,10222,10963,14722,13703
FBgn0039158,1919,2595,2946,2561
FBgn0026598,7714,8285,8552,7793
FBgn0039161,4,7,8,13
FBgn0029503,2704,3247,3945,3589
FBgn0039165,722,915,1092,1115
FBgn0026257,4982,7084,7309,6739
FBgn0039170,1700,2302,1826,1733
FBgn0002863,1,1,3,0
FBgn0043884,20530,21278,26503,29650
FBgn0039172,4908,5287,11730,9651
FBgn0039169,2910,2415,2878,2752
FBgn0011725,20936,21253,23587,22939
FBgn0039167,489,326,680,654
FBgn0039163,5848,7101,12135,9725
FBgn0039160,5652,5861,7717,7317
FBgn0039159,1552,1488,2482,2059
FBgn0015765,2939,3669,4038,3687
FBgn0051133,1367,1840,1452,1307
FBgn0039153,1936,2561,2327,2169
FBgn0039151,0,0,13,5
FBgn0039150,4173,4192,4440,4267
FBgn0053100,6603,8388,10317,10169
FBgn0013343,2898,3509,3881,4484
FBgn0001230,130,140,261,255
FBgn0005649,25854,28414,33788,33245
FBgn0039140,5825,7209,7669,7161
FBgn0051130,0,0,0,0
FBgn0019952,155,99,463,403
FBgn0039177,0,1,0,1
FBgn0039178,78,58,129,207
FBgn0011785,10355,8605,13699,13749
FBgn0039183,6774,6585,9146,8869
FBgn0039184,9,5,5,24
FBgn0011581,1,0,0,0
FBgn0039187,8624,9206,10345,10348
FBgn0053339,0,1,0,0
FBgn0053340,11,1,0,0
FBgn0039193,0,0,0,0
FBgn0053341,0,0,0,0
FBgn0039194,0,0,0,0
FBgn0039199,0,0,0,0
FBgn0039200,21,41,58,32
FBgn0000036,0,0,0,1
FBgn0039198,0,0,0,0
FBgn0039197,0,0,0,0
FBgn0039196,0,0,0,0
FBgn0039195,0,0,0,0
FBgn0039192,0,0,0,0
FBgn0039190,1,0,0,0
FBgn0039189,2423,2550,3053,2771
FBgn0039188,3183,3293,3906,3609
FBgn0039186,14715,14958,19579,18334
FBgn0039182,13809,17474,18954,19580
FBgn0028471,9798,10342,10066,9847
FBgn0039180,7,9,13,6
FBgn0039175,7735,6874,11432,11119
FBgn0051128,1,0,0,0
FBgn0000039,0,0,0,0
FBgn0039201,2,4,2,5
FBgn0003134,9173,10124,10536,10404
FBgn0039203,1,0,1,0
FBgn0039204,1159,944,2191,1965
FBgn0011845,0,0,0,1
FBgn0004188,1,0,0,1
FBgn0004189,14,27,1,0
FBgn0004190,5,6,1,0
FBgn0039213,9098,9270,13552,13146
FBgn0000139,4001,4428,5197,4824
FBgn0051126,1745,1918,2570,2136
FBgn0020018,1721,1504,3318,2952
FBgn0051125,66,63,158,182
FBgn0039214,13375,14571,14360,15271
FBgn0046685,2742,2476,4166,3816
FBgn0039212,3586,2630,5619,4857
FBgn0039210,4577,4360,6402,5822
FBgn0039209,6701,7762,6437,6800
FBgn0039205,306,336,712,500
FBgn0039202,0,1,0,0
FBgn0004118,1,3,7,15
FBgn0039217,0,0,0,0
FBgn0039218,1509,2381,3261,2177
FBgn0004885,541,369,1119,1157
FBgn0003719,51,37,88,85
FBgn0000140,19757,20876,18910,18723
FBgn0040600,1104,1416,658,663
FBgn0039225,2,1,6,3
FBgn0039228,1,1,4,2
FBgn0039232,4004,5781,6141,7012
FBgn0013953,3250,5261,5105,5453
FBgn0039233,2481,2603,5713,4659
FBgn0039234,10461,13549,10902,11120
FBgn0039238,7,2,7,2
FBgn0013949,4,1,2,11
FBgn0039241,5385,4398,11738,11855
FBgn0043799,1645,1967,1620,1644
FBgn0039244,375,435,661,716
FBgn0039246,0,0,0,0
FBgn0051382,0,0,0,0
FBgn0039249,1602,1808,1923,1957
FBgn0039250,4563,5442,7727,7703
FBgn0039251,7351,6015,8568,7649
FBgn0051416,1,0,0,0
FBgn0040601,1,2,4,5
FBgn0051121,393,262,803,803
FBgn0039240,8243,8123,10125,9584
FBgn0015625,26222,25388,22609,20767
FBgn0039239,1,1,0,2
FBgn0039237,1,1,3,6
FBgn0051105,2,0,3,3
FBgn0039235,0,0,0,0
FBgn0051119,438,452,909,822
FBgn0051357,3824,3221,5025,4695
FBgn0051118,278,265,257,252
FBgn0045980,17,23,126,64
FBgn0027617,3344,4341,5326,4644
FBgn0027539,7878,9675,9202,8437
FBgn0039227,15236,16324,18151,17864
FBgn0039226,523,551,1148,905
FBgn0039224,0,4,0,4
FBgn0039223,4929,5633,5733,5296
FBgn0015591,0,3,2,4
FBgn0039219,4514,3672,8348,8070
FBgn0039252,7811,8105,11672,11024
FBgn0039254,1239,1366,1596,1459
FBgn0039257,45,52,85,60
FBgn0039258,2698,2552,3844,3359
FBgn0015240,4946,5012,5133,4897
FBgn0051115,0,0,0,0
FBgn0045866,6206,6426,10751,8371
FBgn0039264,0,0,0,0
FBgn0039265,4419,5343,7694,6932
FBgn0039266,2770,4054,1983,2010
FBgn0039270,1367,1498,1280,1094
FBgn0039271,1758,2099,2725,2380
FBgn0039272,2260,3197,4415,3436
FBgn0039274,4114,6376,5915,5168
FBgn0004897,0,0,4,1
FBgn0004898,0,1,0,0
FBgn0046214,33021,29748,74752,71313
FBgn0039282,4,6,9,11
FBgn0039283,17,9,3,3
FBgn0039280,0,0,0,0
FBgn0051510,3182,4804,4746,4789
FBgn0039277,22,38,58,47
FBgn0039273,2981,4194,3489,2992
FBgn0011336,9548,11205,15269,15079
FBgn0039269,2790,3472,6458,4894
FBgn0051111,1003,1515,1680,1590
FBgn0051109,2242,2811,2325,1999
FBgn0039261,12468,15178,15382,15119
FBgn0039260,5559,6562,5983,5895
FBgn0039259,1744,1947,2468,2214
FBgn0029157,13126,11432,17077,16657
FBgn0020626,5690,4747,9214,8865
FBgn0051108,10653,14509,13713,13457
FBgn0039286,3,2,0,0
FBgn0039288,0,0,0,0
FBgn0039290,54,55,25,29
FBgn0051106,0,1,0,0
FBgn0051103,2,4,2,1
FBgn0039293,7492,9675,10568,9585
FBgn0039297,71,53,74,80
FBgn0039298,0,0,0,1
FBgn0039299,0,0,0,0
FBgn0039301,1974,1485,4023,3659
FBgn0039302,45167,50000,54686,56117
FBgn0039303,7524,7607,9086,8880
FBgn0039305,1423,1480,4242,3358
FBgn0039306,5456,7400,8655,7761
FBgn0039307,0,0,0,0
FBgn0039310,1,0,0,0
FBgn0051300,4,3,0,6
FBgn0051104,0,0,0,2
FBgn0039315,7,11,9,15
FBgn0039316,28,51,27,36
FBgn0039319,276,410,50,49
FBgn0051370,498,747,281,267
FBgn0051436,276,355,134,156
FBgn0028647,4714,6159,5122,5298
FBgn0027376,22,22,13,14
FBgn0039335,2327,2933,3271,3109
FBgn0039337,1505,1372,3647,3104
FBgn0039338,14840,14564,19771,19501
FBgn0039336,1662,1688,1937,1653
FBgn0039329,1270,1295,1465,1305
FBgn0039328,196,252,177,174
FBgn0045761,84,80,109,117
FBgn0039326,4,6,2,3
FBgn0039325,3,2,2,0
FBgn0039324,1,0,0,0
FBgn0039323,198,213,58,54
FBgn0051087,1,5,13,0
FBgn0051099,0,0,0,0
FBgn0039321,19,16,18,30
FBgn0051288,573,746,23,31
FBgn0051097,14,21,0,0
FBgn0051102,11,10,7,8
FBgn0051098,2447,3313,2897,2932
FBgn0039312,4,6,9,7
FBgn0039311,0,0,0,0
FBgn0027090,11244,10905,18968,17599
FBgn0039304,3036,3564,3711,3479
FBgn0039300,45628,50509,80322,70414
FBgn0000158,2117,2252,2962,2642
FBgn0039296,3500,4022,4616,4304
FBgn0039294,5,15,4,10
FBgn0039291,1781,2759,4105,3178
FBgn0022800,9,6,4,14
FBgn0039339,23,35,19,32
FBgn0039341,6166,5264,11555,10492
FBgn0039342,0,0,0,0
FBgn0039343,0,1,68,72
FBgn0011666,7764,8015,13893,13965
FBgn0039346,0,0,0,0
FBgn0039347,0,0,0,0
FBgn0039350,10966,11818,27154,24509
FBgn0027508,4598,4247,5191,5196
FBgn0039344,0,0,0,0
FBgn0040212,2881,3007,3167,3038
FBgn0039354,1,2,0,0
FBgn0039356,550,658,2701,2325
FBgn0039358,12008,13269,15770,15660
FBgn0039373,1,0,0,0
FBgn0039374,0,0,0,0
FBgn0011273,0,0,0,0
FBgn0039376,1,0,0,0
FBgn0039379,6149,6668,7536,6723
FBgn0039380,0,0,1,0
FBgn0039381,6549,6809,7557,7276
FBgn0027865,5201,6501,8370,8107
FBgn0040602,9050,13081,15927,13615
FBgn0011668,0,0,0,3
FBgn0011669,0,2,1,0
FBgn0011670,1,1,2,1
FBgn0051093,5,0,0,1
FBgn0051380,0,0,0,0
FBgn0039371,0,0,1,0
FBgn0039368,0,0,0,0
FBgn0039367,0,0,0,0
FBgn0066101,220,194,3031,2888
FBgn0051092,1128,1549,23631,24220
FBgn0039360,1515,1539,2235,2160
FBgn0039359,58409,53209,139783,126846
FBgn0039357,913,1114,1329,1241
FBgn0039355,1895,2290,2549,2411
FBgn0028717,3281,2984,5463,5098
FBgn0039385,3819,3908,5724,4598
FBgn0039386,5,8,13,4
FBgn0039387,1,0,0,1
FBgn0051091,0,0,0,0
FBgn0051089,0,0,0,0
FBgn0039398,3,2,0,0
FBgn0000206,0,0,0,0
FBgn0002734,2,1,0,0
FBgn0002735,0,0,0,1
FBgn0002732,6,13,23,21
FBgn0002578,1,0,11,15
FBgn0002609,307,383,820,938
FBgn0002633,18,22,30,41
FBgn0000591,0,1,1,0
FBgn0001139,15346,14325,24248,23445
FBgn0039402,2506,2724,5155,4511
FBgn0039404,1622,1702,2629,2487
FBgn0039407,1438,1413,2354,2132
FBgn0039411,0,0,1,0
FBgn0039408,2,0,1,0
FBgn0039406,11573,8284,33931,31244
FBgn0039405,0,0,0,0
FBgn0039403,1417,1493,2449,2239
FBgn0028833,5233,5045,8901,7954
FBgn0002629,0,0,0,0
FBgn0002592,10,8,11,18
FBgn0002733,221,277,507,594
FBgn0039395,0,0,0,0
FBgn0039413,4,0,3,3
FBgn0039415,6,19,31,38
FBgn0051323,20,34,35,36
FBgn0051086,0,0,0,0
FBgn0039419,568,857,713,1233
FBgn0039420,0,0,1,0
FBgn0000064,24342,23986,31741,31337
FBgn0039417,4183,5231,6839,5894
FBgn0039425,0,2,0,0
FBgn0051084,0,0,0,0
FBgn0042711,0,0,0,0
FBgn0042710,1,3,0,0
FBgn0039427,4615,5584,5901,5447
FBgn0039428,0,0,0,0
FBgn0039429,2,2,0,1
FBgn0039430,1037,1308,1916,2153
FBgn0039431,2040,2762,3144,3719
FBgn0023178,0,0,1,0
FBgn0039424,0,0,0,0
FBgn0039421,0,0,0,0
FBgn0039434,0,0,1,0
FBgn0039440,0,0,0,0
FBgn0039441,0,0,0,0
FBgn0051080,0,0,0,1
FBgn0051081,0,0,0,0
FBgn0039443,0,0,0,0
FBgn0039444,0,0,0,0
FBgn0039450,5033,4831,7011,6512
FBgn0040607,0,0,0,0
FBgn0039453,0,0,0,0
FBgn0039451,5660,4321,8041,8070
FBgn0039449,2501,2340,2643,2455
FBgn0023179,1,1,0,1
FBgn0039448,0,0,0,0
FBgn0039439,0,0,0,0
FBgn0039438,0,0,0,0
FBgn0039437,0,0,0,0
FBgn0039436,0,0,0,0
FBgn0039435,0,0,0,0
FBgn0039459,4465,2975,6381,5655
FBgn0001197,37208,39361,51830,45794
FBgn0002838,1,7,31,21
FBgn0039461,1561,1460,2993,2348
FBgn0004359,3198,3071,4920,4693
FBgn0015541,419,507,597,652
FBgn0039462,299,413,430,424
FBgn0039463,1,2,0,0
FBgn0039466,9008,9747,10691,11078
FBgn0039467,8,12,9,3
FBgn0039469,0,0,0,0
FBgn0051077,0,0,0,0
FBgn0039471,0,0,0,0
FBgn0039470,7,11,2,0
FBgn0051076,13,10,22,7
FBgn0051075,1483,1204,4001,3000
FBgn0041224,0,0,2,4
FBgn0039465,6608,7762,7777,7208
FBgn0039464,355,406,2733,2404
FBgn0051070,0,0,0,0
FBgn0051071,0,0,0,0
FBgn0004510,4014,4180,5143,4458
FBgn0003267,2,0,1,0
FBgn0026562,553,444,2245,2732
FBgn0027889,9650,9061,15754,14742
FBgn0004842,0,0,0,0
FBgn0029170,0,0,0,0
FBgn0039479,13,3,16,23
FBgn0039482,0,0,0,1
FBgn0039483,0,0,0,0
FBgn0039485,2,0,0,1
FBgn0027574,1784,1921,2385,2379
FBgn0039489,1661,2190,1612,1447
FBgn0039490,7,5,4,9
FBgn0029155,9409,10450,11039,10844
FBgn0039494,19,17,36,46
FBgn0039495,1,0,4,2
FBgn0051065,14,13,9,14
FBgn0003482,658,842,833,673
FBgn0051068,0,0,0,0
FBgn0005696,6929,5845,8723,8016
FBgn0039498,6,5,0,1
FBgn0042111,1191,1337,1500,1324
FBgn0051064,1516,1423,2204,2119
FBgn0004197,1,1,0,5
FBgn0039492,8164,7413,11562,11286
FBgn0039491,3,4,3,1
FBgn0039488,2643,2871,3766,3585
FBgn0039487,6929,7393,8805,8611
FBgn0039486,96,67,147,162
FBgn0039481,14,14,16,11
FBgn0039480,0,0,0,0
FBgn0003495,3779,4428,8965,8639
FBgn0039478,2,5,4,5
FBgn0039476,0,0,0,0
FBgn0039475,0,0,0,0
FBgn0039474,1,0,0,0
FBgn0039473,3,0,0,0
FBgn0039472,0,0,0,0
FBgn0011289,6936,6185,10285,9328
FBgn0039504,2,4,38,25
FBgn0039505,1677,1675,2314,2042
FBgn0046247,3873,4213,4674,4322
FBgn0039508,8094,8315,9112,8366
FBgn0015737,14160,14373,22954,22077
FBgn0016061,16,9,19,13
FBgn0039511,1,1,0,0
FBgn0039510,0,1,0,0
FBgn0040609,450,239,330,287
FBgn0039509,1124,1119,1676,1488
FBgn0039507,4815,4562,4708,4303
FBgn0002441,8027,6612,9880,9495
FBgn0039503,0,1,0,2
FBgn0010328,23667,22736,29420,28338
FBgn0010441,3083,2624,4201,3591
FBgn0039501,106,114,113,117
FBgn0039500,6,2,2,8
FBgn0039518,0,4,0,0
FBgn0039519,0,0,1,0
FBgn0039520,0,0,0,0
FBgn0039523,0,0,0,0
FBgn0046887,0,0,1,0
FBgn0046886,0,0,0,0
FBgn0046885,0,0,0,0
FBgn0040080,7705,8044,10625,10292
FBgn0039528,6823,7189,10526,10055
FBgn0039527,130,143,202,346
FBgn0027492,20920,26360,27689,26934
FBgn0039525,395,459,270,237
FBgn0004387,6112,6543,5913,5942
FBgn0039522,0,0,0,0
FBgn0039521,7,6,9,13
FBgn0005659,1,1,5,5
FBgn0067407,0,0,0,0
FBgn0039551,0,0,0,0
FBgn0039552,0,0,0,0
FBgn0039555,3120,2657,6486,5529
FBgn0003279,76997,50936,304720,295137
FBgn0027579,11764,12760,14072,14023
FBgn0039560,6211,5946,8198,8097
FBgn0039562,21389,17102,46222,43745
FBgn0039564,71,55,133,123
FBgn0051054,0,0,0,0
FBgn0039566,5887,6382,7966,7694
FBgn0039568,0,0,0,0
FBgn0003890,469,372,1186,1348
FBgn0051131,0,0,0,0
FBgn0051253,0,0,0,0
FBgn0039565,0,0,0,0
FBgn0039563,5052,4148,6839,6241
FBgn0039561,8205,7570,11026,10737
FBgn0039559,18905,17558,23148,22775
FBgn0051053,644,627,798,650
FBgn0039558,1958,1645,4252,3540
FBgn0039557,1216,1053,1789,1763
FBgn0053213,1783,1958,2331,1992
FBgn0039554,5210,4993,5707,5106
FBgn0002865,1,0,0,0
FBgn0004171,1,1,0,0
FBgn0039576,0,0,0,0
FBgn0039577,0,1,0,0
FBgn0039581,8067,7265,14961,13894
FBgn0039584,0,1,3,0
FBgn0039585,1,5,12,10
FBgn0013813,2,1,7,9
FBgn0039588,1181,1206,1786,1613
FBgn0003137,346,446,992,1202
FBgn0051051,0,1,2,3
FBgn0039580,3680,2539,8048,7469
FBgn0001215,28967,39106,32837,30945
FBgn0039589,5228,5703,5311,4832
FBgn0039591,0,1,0,0
FBgn0053346,0,0,1,0
FBgn0039593,2,1,9,1
FBgn0039594,910,1010,3422,5018
FBgn0027655,2763,2711,3855,4177
FBgn0039599,0,0,0,0
FBgn0039598,0,0,0,0
FBgn0039597,0,0,0,0
FBgn0039596,0,0,0,0
FBgn0039595,6,11,9,12
FBgn0051050,0,0,0,0
FBgn0039590,924,897,2535,2568
FBgn0026400,5425,5455,8196,6847
FBgn0000659,1,0,0,1
FBgn0039600,5679,6458,7879,8418
FBgn0039602,2098,2423,2304,2321
FBgn0039609,1,5,2,1
FBgn0039611,5,0,1,2
FBgn0039613,6,3,22,30
FBgn0027578,401,383,691,549
FBgn0039616,0,1,0,2
FBgn0039623,6285,7409,5465,5152
FBgn0041780,403,594,458,377
FBgn0039622,8,7,14,6
FBgn0039620,60,63,58,48
FBgn0039617,1,0,0,0
FBgn0053203,43,27,56,56
FBgn0039612,34,27,74,76
FBgn0015589,7554,7337,7879,8443
FBgn0024273,3339,3264,4780,4746
FBgn0039601,3412,3283,4333,4049
FBgn0005642,9311,7758,7443,6851
FBgn0027873,4512,4825,5792,5490
FBgn0003093,2855,3158,4467,4581
FBgn0039627,2396,2705,3924,3645
FBgn0039628,7,0,4,1
FBgn0039629,3,3,11,12
FBgn0039630,40,61,207,203
FBgn0039631,3234,3678,3338,3020
FBgn0039633,8867,9612,10455,10720
FBgn0039635,5114,3391,16312,14718
FBgn0039636,1851,1496,2512,2294
FBgn0039637,10390,11655,13943,13265
FBgn0028671,9205,9288,14151,14386
FBgn0039640,34541,36835,42017,40292
FBgn0028692,26434,23545,43466,42302
FBgn0039644,39613,46002,40034,39469
FBgn0039645,0,1,0,2
FBgn0014427,7026,6902,16579,15080
FBgn0051044,1376,1824,346,302
FBgn0029176,108948,97601,248919,244647
FBgn0039654,2931,2348,4242,3951
FBgn0028476,14136,14508,18472,18098
FBgn0003525,21880,22947,36039,33801
FBgn0051445,36,54,44,61
FBgn0051427,2,2,1,1
FBgn0039656,26,41,33,39
FBgn0039655,6,3,1,4
FBgn0062442,4768,5284,12787,10036
FBgn0039651,8,18,23,22
FBgn0039650,454,669,687,614
FBgn0039647,39,31,73,64
FBgn0041186,7298,6022,10274,9107
FBgn0041588,3425,2948,5419,5061
FBgn0039642,1596,1287,2659,2469
FBgn0039641,787,818,1010,855
FBgn0039639,747,1203,1116,938
FBgn0039638,4400,4319,5798,5408
FBgn0005596,14863,13282,18678,18241
FBgn0039634,8961,11451,11556,10945
FBgn0039632,8144,9261,9447,9124
FBgn0039626,2397,2637,2786,2567
FBgn0039625,2872,2994,4283,3766
FBgn0039664,388,282,819,717
FBgn0039666,0,0,0,3
FBgn0039667,10,13,27,29
FBgn0039668,4482,4251,7161,7127
FBgn0039665,1184,960,2520,2126
FBgn0040623,1619,1230,3655,3119
FBgn0039663,1776,1806,2111,1934
FBgn0015622,15004,15194,22073,21094
FBgn0039659,0,0,0,0
FBgn0039669,2,0,0,0
FBgn0000492,0,0,0,1
FBgn0039674,3822,4113,5753,5237
FBgn0039677,3,2,1,1
FBgn0039678,433,335,1406,1338
FBgn0039679,3,4,8,4
FBgn0039680,5833,5813,9057,8919
FBgn0013972,0,0,0,0
FBgn0039683,0,2,0,0
FBgn0039684,0,0,0,0
FBgn0039686,4,2,11,6
FBgn0024841,3487,2876,5485,4358
FBgn0042213,761,1188,1691,1265
FBgn0039688,225,296,437,450
FBgn0039687,2079,2317,3684,3304
FBgn0039685,10,7,36,30
FBgn0039682,3,4,40,20
FBgn0039681,38,33,38,53
FBgn0025457,8226,8336,12792,11700
FBgn0039673,76,32,2,7
FBgn0051041,19,10,20,17
FBgn0039671,2,2,1,1
FBgn0039670,0,0,0,0
FBgn0039689,1501,1541,2222,1836
FBgn0039690,1172,1314,1532,1448
FBgn0039691,6805,6872,9147,8930
FBgn0019972,6514,7159,8914,8683
FBgn0039698,1958,1447,4628,4107
FBgn0000247,6071,5154,7183,7263
FBgn0039704,4,1,5,8
FBgn0039707,3,1,0,1
FBgn0039709,1684,1714,5006,5304
FBgn0051038,1330,1304,2191,2162
FBgn0039719,0,0,0,1
FBgn0051036,2,2,3,1
FBgn0003357,0,0,0,0
FBgn0039723,0,0,0,0
FBgn0039727,2682,3309,3083,3188
FBgn0004622,80,115,11,23
FBgn0039726,2005,1906,2447,2346
FBgn0051040,2053,1905,2023,1883
FBgn0051202,14,40,19,21
FBgn0003358,0,3,1,0
FBgn0003356,0,0,0,0
FBgn0003861,0,0,0,0
FBgn0039722,1,0,0,0
FBgn0039718,0,0,0,0
FBgn0039712,5127,4952,7238,6447
FBgn0051032,219,235,276,256
FBgn0039710,4489,4248,5469,5040
FBgn0039705,3603,3769,5173,5092
FBgn0039703,0,0,0,1
FBgn0039702,1111,990,1745,1569
FBgn0002924,6509,5062,9887,9354
FBgn0039697,6099,4577,24579,20694
FBgn0039696,3355,3501,3265,3020
FBgn0039694,3,0,5,7
FBgn0020235,17323,12682,37889,35028
FBgn0027518,3910,3852,4729,4274
FBgn0027583,2274,2499,3634,2817
FBgn0039728,1,1,1,3
FBgn0039731,2338,2807,2422,2159
